date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2017-02-10,2017-02-10,4,Friday,10,41,2,February,1,2017,False
2018-06-22,2018-06-22,4,Friday,22,173,6,June,2,2018,False
2018-06-21,2018-06-21,3,Thursday,21,172,6,June,2,2018,False
2017-01-22,2017-01-22,6,Sunday,22,22,1,January,1,2017,True
2018-04-08,2018-04-08,6,Sunday,8,98,4,April,2,2018,True
2018-06-20,2018-06-20,2,Wednesday,20,171,6,June,2,2018,False
2017-05-07,2017-05-07,6,Sunday,7,127,5,May,2,2017,True
2018-07-17,2018-07-17,1,Tuesday,17,198,7,July,3,2018,False
2017-02-26,2017-02-26,6,Sunday,26,57,2,February,1,2017,True
2018-04-06,2018-04-06,4,Friday,6,96,4,April,2,2018,False
2018-03-21,2018-03-21,2,Wednesday,21,80,3,March,1,2018,False
2017-05-25,2017-05-25,3,Thursday,25,145,5,May,2,2017,False
2017-08-20,2017-08-20,6,Sunday,20,232,8,August,3,2017,True
2017-03-29,2017-03-29,2,Wednesday,29,88,3,March,1,2017,False
2017-12-28,2017-12-28,3,Thursday,28,362,12,December,4,2017,False
2018-03-24,2018-03-24,5,Saturday,24,83,3,March,1,2018,True
2017-03-07,2017-03-07,1,Tuesday,7,66,3,March,1,2017,False
2017-06-10,2017-06-10,5,Saturday,10,161,6,June,2,2017,True
2017-11-08,2017-11-08,2,Wednesday,8,312,11,November,4,2017,False
2017-08-03,2017-08-03,3,Thursday,3,215,8,August,3,2017,False
2017-03-25,2017-03-25,5,Saturday,25,84,3,March,1,2017,True
2018-07-16,2018-07-16,0,Monday,16,197,7,July,3,2018,False
2017-03-27,2017-03-27,0,Monday,27,86,3,March,1,2017,False
2017-10-27,2017-10-27,4,Friday,27,300,10,October,4,2017,False
2017-12-25,2017-12-25,0,Monday,25,359,12,December,4,2017,False
2017-03-05,2017-03-05,6,Sunday,5,64,3,March,1,2017,True
2018-05-28,2018-05-28,0,Monday,28,148,5,May,2,2018,False
2017-03-01,2017-03-01,2,Wednesday,1,60,3,March,1,2017,False
2017-07-19,2017-07-19,2,Wednesday,19,200,7,July,3,2017,False
2017-07-26,2017-07-26,2,Wednesday,26,207,7,July,3,2017,False
2018-04-05,2018-04-05,3,Thursday,5,95,4,April,2,2018,False
2017-07-14,2017-07-14,4,Friday,14,195,7,July,3,2017,False
2017-09-06,2017-09-06,2,Wednesday,6,249,9,September,3,2017,False
